refactoringType,name,description,diffUrl
"Pull Up Operation",netty,"Pull Up Operation	public write(ctx ChannelHandlerContext, msg Object, promise ChannelPromise) : void from class io.netty.channel.ChannelOutboundHandlerAdapter to public write(ctx ChannelHandlerContext, msg Object, promise ChannelPromise) : void from class io.netty.channel.ChannelHandlerAdapter",https://github.com/netty/netty/commit/110745b0eb1efa6ffd532d2c1f26c7f3b4b2533b?diff=split
"Pull Up Operation",netty,"Pull Up Operation	protected doDeregister() : void from class io.netty.channel.socket.nio.NioDatagramChannel to protected doDeregister() : void from class io.netty.channel.socket.nio.AbstractNioChannel",https://github.com/netty/netty/commit/6206d82b2c670aa58537c686ce9144ba94201cf6?diff=split
"Pull Up Operation",junit,"Pull Up Operation	private interceptorFields() : List<FrameworkField> from class org.junit.experimental.interceptor.Interceptors to private interceptorFields() : List<FrameworkField> from class org.junit.runners.BlockJUnit4ClassRunner",https://github.com/junit-team/junit/commit/fb7e47081b37842a814e9f35013b9b12a33b3fc3?diff=split
"Pull Up Operation",netty,"Pull Up Operation	public getBytes(index int, dst ByteBuf, dstIndex int, length int) : void from class io.netty.buffer.DefaultCompositeByteBuf to public discardReadBytes() : ByteBuf from class io.netty.buffer.AbstractByteBuf",https://github.com/netty/netty/commit/cbcabaf29b24fb4c04334c851c33ce9a278a3389?diff=split
"Pull Up Operation",netty,"Pull Up Operation	public unsafe() : Unsafe from class io.netty.buffer.SlicedByteBuf to public discardSomeReadBytes() : ByteBuf from class io.netty.buffer.AbstractByteBuf",https://github.com/netty/netty/commit/03e68482bba54aa0c0d35649ac9c090b0ab75473?diff=split
"Extract Superclass",netty,"Extract Superclass	io.netty.handler.codec.DefaultHeaders from classes [io.netty.handler.codec.DefaultBinaryHeaders]",https://github.com/netty/netty/commit/2374e17c6ed3b037f2419dd33acdb481536b751d?diff=split
"Extract Superclass",netty,"Extract Superclass	io.netty.handler.codec.spdy.SpdyHeaderBlockDecompressor from classes [io.netty.handler.codec.spdy.SpdyJZlibDecoder]",https://github.com/netty/netty/commit/b22ebbe4309f37a80cbed53b58e9982c9273f65c?diff=split
"Extract Superclass",RxJava,"Extract Superclass	org.rx.reactive.Observable from classes [org.rx.reactive.Observable.UnitTest.TestObservable]",https://github.com/ReactiveX/RxJava/commit/2a4122c11b95eaa3213c2c3e54a93d28b9231eec?diff=split
"Extract Superclass",netty,"Extract Superclass	io.netty.util.concurrent.AbstractEventExecutorGroup from classes [io.netty.util.concurrent.MultithreadEventExecutorGroup, io.netty.channel.ThreadPerChannelEventLoopGroup]",https://github.com/netty/netty/commit/96bf71e814c2d7024d38cdeb8dc05a627670f09a?diff=split
"Extract Superclass",netty,"Extract Superclass	org.jboss.netty.channel.DefaultChannelConfig from classes [org.jboss.netty.channel.socket.http.HttpTunnelingSocketChannelConfig, org.jboss.netty.channel.socket.DefaultSocketChannelConfig]",https://github.com/netty/netty/commit/cd6fce50bce396501cbd3de452ac6bd3855e5b07?diff=split
"Extract Superclass",clojure,"Extract Superclass	clojure.lang.HostSymbol from classes [clojure.lang.ClassSymbol, clojure.lang.InstanceMemberSymbol, clojure.lang.StaticMemberSymbol]",https://github.com/clojure/clojure/commit/86fcd18f4ef4d0cfc17df28649ae10b5060f2432?diff=split
"Extract Superclass",voldemort,"Extract Superclass	voldemort.store.readonly.chunk.DataFileChunkSetIterator from classes [voldemort.store.readonly.chunk.ChunkedFileSet.ROKeyIterator, voldemort.store.readonly.chunk.DataFileChunkSetIteratorTest.SimpleDataFileChunkSetIterator]",https://github.com/voldemort/voldemort/commit/e011531aa5e8504081b92044bd4b1ecf7baf791d?diff=split
"Extract Superclass",storm,"Extract Superclass	backtype.storm.topology.base.BaseRichSpout from classes [backtype.storm.testing.TestWordSpout, backtype.storm.testing.SpoutTracker, backtype.storm.testing.TestPlannerSpout]",https://github.com/nathanmarz/storm/commit/9a6881b93f1ccdbed1d6d66b575de3c3acf9dd59?diff=split
"Extract Superclass",voldemort,"Extract Superclass	voldemort.utils.pool.KeyedResourcePoolBaseTest from classes [voldemort.utils.pool.KeyedResourcePoolTest]",https://github.com/voldemort/voldemort/commit/1f3a4665f0b0816b55d0b2820ed93248c851bc49?diff=split
"Extract Superclass",netty,"Extract Superclass	io.netty.channel.CombinedChannelHandler from classes [io.netty.handler.codec.http.HttpServerCodec, io.netty.handler.codec.http.HttpClientCodec]",https://github.com/netty/netty/commit/af37ec4f23a54233d913f730761b779acf9ebff1?diff=split
"Push Down Operation",voldemort,"Push Down Operation	public getReplicatingPartitionList(key byte[]) : List<Integer> from class voldemort.routing.BaseStoreRoutingPlan to public getReplicatingPartitionList(key byte[]) : List<Integer> from class voldemort.routing.StoreRoutingPlan",https://github.com/voldemort/voldemort/commit/5459942b99dc2a0bbdf32bcfe3f5928fe1084591?diff=split
"Push Down Operation",k-9,"Push Down Operation	public isMimeType(mimeType String) : boolean from class com.fsck.k9.mail.Message to public isMimeType(mimeType String) : boolean from class com.fsck.k9.mail.internet.MimeMessage",https://github.com/k9mail/k-9/commit/1ca1ef5c845f0c72d9e594ca7c348c25f6f2e790?diff=split
"Push Down Operation",RxJava,"Push Down Operation	public testSchedulingWithDueTime() : void from class rx.schedulers.AbstractSchedulerTests to public testUnsubscribeRecursiveScheduleFromInside() : void from class rx.schedulers.AbstractSchedulerConcurrencyTests",https://github.com/ReactiveX/RxJava/commit/d91794b7123f58d5dfc85fa7edfd8c33ffd9655d?diff=split
"Push Down Operation",voldemort,"Push Down Operation	protected CommandLineRemoteOperation(remoteOperationConfig RemoteOperationConfig, commandId String) from class voldemort.utils.impl.CommandLineRemoteOperation to public SshClusterStopper(hostNames Collection<String>, sshPrivateKey File, hostUserId String, voldemortRootDirectory String) from class voldemort.utils.impl.SshClusterStopper",https://github.com/voldemort/voldemort/commit/fb023076d878d345e3b0dc238ffff367d5cfa5f2?diff=split
"Push Down Operation",clojure,"Push Down Operation	public reduce(f IFn) : Object from class clojure.lang.ASeq to public reduce(f IFn) : Object from class clojure.lang.PersistentList",https://github.com/clojure/clojure/commit/9bc10fc85c9ec0cca1aa4e7faa59cee45a4deea0?diff=split
"Push Down Operation",voldemort,"Push Down Operation	public getMasterPartitionId(key byte[]) : int from class voldemort.routing.BaseStoreRoutingPlan to public getMasterPartitionId(key byte[]) : int from class voldemort.routing.StoreRoutingPlan",https://github.com/voldemort/voldemort/commit/5459942b99dc2a0bbdf32bcfe3f5928fe1084591?diff=split
"Push Down Operation",netty,"Push Down Operation	public isCancelled() : boolean from class io.netty.util.concurrent.AbstractFuture to public isCancellable() : boolean from class io.netty.util.concurrent.CompleteFuture",https://github.com/netty/netty/commit/41af9a1eb3f9e5c814cc668736a006ee2593b325?diff=split
"Push Down Operation",junit,"Push Down Operation	protected assertValid(errors List<Throwable>) : void from class org.junit.runner.Runner to protected assertValid(errors List<Throwable>) : void from class org.junit.internal.runners.ParentRunner",https://github.com/junit-team/junit/commit/8bed6c9278517d9fb13f274bc5a6ade358a39745?diff=split
"Push Down Operation",netty,"Push Down Operation	protected DefaultProgressivePromise(total long) from class io.netty.util.concurrent.DefaultProgressivePromise to public DefaultChannelProgressivePromise(channel Channel) from class io.netty.channel.DefaultChannelProgressivePromise",https://github.com/netty/netty/commit/7ee571968c63502814b18def3d172ac8e81e4110?diff=split
"Push Down Operation",netty,"Push Down Operation	public handlerRemoved(ctx ChannelHandlerContext) : void from class io.netty.handler.traffic.AbstractTrafficShapingHandler to public handlerRemoved(ctx ChannelHandlerContext) : void from class io.netty.handler.traffic.ChannelTrafficShapingHandler",https://github.com/netty/netty/commit/f8f19d1539487078afe78c8fbd2ec1f50787b15d?diff=split
"Extract Interface",titan,"Extract Interface	com.thinkaurelius.titan.core.log.TransactionRecovery from classes [com.thinkaurelius.titan.graphdb.log.StandardTransactionLogProcessor]",https://github.com/thinkaurelius/titan/commit/de317397cfe0dbd0e9cfb1ca9988e4a7818b59aa?diff=split
"Extract Interface",clojure,"Extract Interface	org.clojure.runtime.IMapEntry from classes [org.clojure.runtime.RBTree.Node]",https://github.com/clojure/clojure/commit/30b28f18a3b17d7edc7cd8a694914f37d871b39c?diff=split
"Extract Interface",netty,"Extract Interface	io.netty.util.concurrent.FastThreadLocalAccess from classes [io.netty.util.concurrent.FastThreadLocalThread]",https://github.com/netty/netty/commit/f8bee2e94c33f167bcdefe3e8bbf95e99765032e?diff=split
"Extract Interface",netty,"Extract Interface	org.jboss.netty.channel.ServerChannel from classes [org.jboss.netty.channel.AbstractServerChannel, org.jboss.netty.channel.socket.ServerSocketChannel]",https://github.com/netty/netty/commit/493aad614dc0528baffc914856bf3d8861daa304?diff=split
"Extract Interface",storm,"Extract Interface	backtype.storm.task.IErrorReporter from classes [backtype.storm.task.IOutputCollector]",https://github.com/nathanmarz/storm/commit/69ada7049d110ff4aad5c5acc4471e3bf0383a6c?diff=split
"Extract Interface",storm,"Extract Interface	backtype.storm.task.IBoltEmitter from classes [backtype.storm.task.IOutputCollector]",https://github.com/nathanmarz/storm/commit/782d57f40cab0fdbd96d34e2ff417a81e58348e9?diff=split
"Extract Interface",netty,"Extract Interface	io.netty.handler.codec.http2.Http2DataObserver from classes [io.netty.handler.codec.http2.Http2FrameObserver]",https://github.com/netty/netty/commit/5b1d50fa7c404108140160a48aa2f5d08c2121af?diff=split
"Extract Interface",clojure,"Extract Interface	clojure.lang.MapEquivalence from classes [clojure.lang.APersistentMap]",https://github.com/clojure/clojure/commit/ac484ba40cc1d94d42ce59e9df92b13e98ed0b6e?diff=split
"Extract Interface",clojure,"Extract Interface	clojure.lang.ILookup from classes [clojure.lang.Associative]",https://github.com/clojure/clojure/commit/6e2ff8788fbff36d0ce019c7bfc6adff4fc58cf9?diff=split
"Extract Interface",clojure,"Extract Interface	clojure.lang.IAtom from classes [clojure.lang.Atom]",https://github.com/clojure/clojure/commit/2b8e2078ddc3b73d4634adba339fae22fded4169?diff=split
"Convert Anonymous Class to Type",voldemort,"Convert Anonymous Class to Type	voldemort.socketpool.ResourcePoolTestUtils.2 was converted to voldemort.store.socket.clientrequest.BlockingClientRequest",https://github.com/voldemort/voldemort/commit/21ef9f2acff4bd9720b8728cb44a23a04e0f4e32?diff=split
"Convert Anonymous Class to Type",RxJava,"Convert Anonymous Class to Type	rx.util.BufferOpenings.1 was converted to rx.operators.ChunkedOperation.TimeBasedChunks",https://github.com/ReactiveX/RxJava/commit/5789894638a62ac17b5276053e3bea8bdd570580?diff=split
"Convert Anonymous Class to Type",RxJava,"Convert Anonymous Class to Type	rx.util.BufferOpenings.1 was converted to rx.operators.ChunkedOperation.TimeAndSizeBasedChunks",https://github.com/ReactiveX/RxJava/commit/5789894638a62ac17b5276053e3bea8bdd570580?diff=split
"Convert Anonymous Class to Type",voldemort,"Convert Anonymous Class to Type	voldemort.coordinator.CoordinatorUtils.1 was converted to voldemort.rest.coordinator.CoordinatorWorkerThread",https://github.com/voldemort/voldemort/commit/9ebeb605f3f6434ccc7e2dc9214f99a5148c2d57?diff=split
"Convert Anonymous Class to Type",RxJava,"Convert Anonymous Class to Type	rx.util.BufferOpenings.1 was converted to rx.operators.ChunkedOperation.Chunks",https://github.com/ReactiveX/RxJava/commit/5789894638a62ac17b5276053e3bea8bdd570580?diff=split
"Convert Anonymous Class to Type",voldemort,"Convert Anonymous Class to Type	voldemort.socketpool.ResourcePoolTestUtils.2 was converted to voldemort.store.socket.clientrequest.ProtocolNegotiatorClientRequest",https://github.com/voldemort/voldemort/commit/21ef9f2acff4bd9720b8728cb44a23a04e0f4e32?diff=split
"Convert Anonymous Class to Type",titan,"Convert Anonymous Class to Type	com.thinkaurelius.titan.tinkerpop.rexster.RexsterTitanServer.1 was converted to com.thinkaurelius.titan.testcategory.OrderedKeyStoreTests",https://github.com/thinkaurelius/titan/commit/a649b7a3d40eae5fb7cbbe6b37988a002b6a1ed2?diff=split
"Convert Anonymous Class to Type",RxJava,"Convert Anonymous Class to Type	rx.util.BufferClosings.1 was converted to rx.operators.ChunkedOperation.ChunkObserver",https://github.com/ReactiveX/RxJava/commit/5789894638a62ac17b5276053e3bea8bdd570580?diff=split
"Convert Anonymous Class to Type",netty,"Convert Anonymous Class to Type	io.netty.channel.epoll.EpollReuseAddrTest.1 was converted to io.netty.channel.epoll.EpollReuseAddrTest.DatagramSocketTestHandler",https://github.com/netty/netty/commit/5babc1a498a9463d856af7d7728b9c8cd0f681d6?diff=split
"Convert Anonymous Class to Type",voldemort,"Convert Anonymous Class to Type	voldemort.socketpool.ResourcePoolTestUtils.2 was converted to voldemort.utils.SelectorManager",https://github.com/voldemort/voldemort/commit/21ef9f2acff4bd9720b8728cb44a23a04e0f4e32?diff=split
"Pull Up Attribute",netty,"Pull Up Attribute	protected logger : InternalLogger from class io.netty.handler.codec.http.websocketx.WebSocketServerHandshaker13 to class io.netty.handler.codec.http.websocketx.WebSocketServerHandshaker",https://github.com/netty/netty/commit/6ac9b17ddd306bcf3dceeb62134a7e38103ac2ac?diff=split
"Pull Up Attribute",voldemort,"Pull Up Attribute	protected rebalancer : Rebalancer from class voldemort.server.rebalance.async.StealerBasedRebalanceAsyncOperation to class voldemort.server.rebalance.async.RebalanceAsyncOperation",https://github.com/voldemort/voldemort/commit/86293a357db18aea43cef295a642f43447b015b7?diff=split
"Pull Up Attribute",titan,"Pull Up Attribute	protected graphdb : GraphDB from class com.thinkaurelius.titan.graphdb.transaction.StandardPersistGraphTx to class com.thinkaurelius.titan.graphdb.transaction.AbstractGraphTx",https://github.com/thinkaurelius/titan/commit/b1d1358bdd1a24358b712c69e39ab535ea8f1042?diff=split
"Pull Up Attribute",k-9,"Pull Up Attribute	private mDateFormat : DateFormat from class com.android.email.activity.MessageView to class com.android.email.K9Activity",https://github.com/k9mail/k-9/commit/fe01446af6fbae092fd8334ebed9259b2dcfe4f7?diff=split
"Pull Up Attribute",k-9,"Pull Up Attribute	private gestureDetector : GestureDetector from class com.fsck.k9.activity.MessageView to class com.fsck.k9.K9Activity",https://github.com/k9mail/k-9/commit/9d5803b174ba241de0de219bd3a84392dd80a7fc?diff=split
"Pull Up Attribute",voldemort,"Pull Up Attribute	protected BANNAGE_MILLIS : int from class voldemort.cluster.failuredetector.BannagePeriodFailureDetectorTest to class voldemort.cluster.failuredetector.AbstractFailureDetectorTest",https://github.com/voldemort/voldemort/commit/0e18d2a0c74aef79abfc9c0e22275b41ec2653ef?diff=split
"Pull Up Attribute",netty,"Pull Up Attribute	package worker : NioWorker from class org.jboss.netty.channel.socket.nio.NioClientSocketChannel to class org.jboss.netty.channel.socket.nio.NioSocketChannel",https://github.com/netty/netty/commit/ad595a3a5baed419ce93a658d2d0795a2fef5b36?diff=split
"Pull Up Attribute",voldemort,"Pull Up Attribute	private saveKeys : boolean from class voldemort.store.readonly.mr.AbstractHadoopStoreBuilderMapper to class voldemort.store.readonly.mr.AbstractStoreBuilderConfigurable",https://github.com/voldemort/voldemort/commit/29d3b255f9448631e6538d5d343730b5dca08a7e?diff=split
"Pull Up Attribute",netty,"Pull Up Attribute	protected logger : InternalLogger from class io.netty.handler.codec.http.websocketx.WebSocketServerHandshaker07 to class io.netty.handler.codec.http.websocketx.WebSocketServerHandshaker",https://github.com/netty/netty/commit/6ac9b17ddd306bcf3dceeb62134a7e38103ac2ac?diff=split
"Pull Up Attribute",netty,"Pull Up Attribute	private logger : InternalLogger from class io.netty.channel.socket.nio.NioDatagramChannel to class io.netty.channel.socket.nio.AbstractNioChannel",https://github.com/netty/netty/commit/6206d82b2c670aa58537c686ce9144ba94201cf6?diff=split
"Push Down Attribute",titan,"Push Down Attribute	protected randomUniqueIDLimit : int from class com.thinkaurelius.titan.diskstorage.idmanagement.AbstractIDManager to class com.thinkaurelius.titan.diskstorage.idmanagement.ConsistentKeyIDManager",https://github.com/thinkaurelius/titan/commit/3e139cc05efe2a3edab45105adce2f909fd8bf93?diff=split
"Push Down Attribute",voldemort,"Push Down Attribute	protected time : Time from class voldemort.store.routed.action.AbstractAction to class voldemort.store.routed.action.IncrementClock",https://github.com/voldemort/voldemort/commit/b9b2857ec36c4de9a8ae2ab388c0713eb006108b?diff=split
"Push Down Attribute",voldemort,"Push Down Attribute	protected failureDetector : FailureDetector from class voldemort.store.routed.action.AbstractAction to class voldemort.store.routed.action.AcknowledgeResponse",https://github.com/voldemort/voldemort/commit/b9b2857ec36c4de9a8ae2ab388c0713eb006108b?diff=split
"Push Down Attribute",netty,"Push Down Attribute	private connectTimeoutFuture : ScheduledFuture<?> from class io.netty.channel.AbstractChannel to class io.netty.channel.socket.nio.AbstractNioChannel",https://github.com/netty/netty/commit/6206d82b2c670aa58537c686ce9144ba94201cf6?diff=split
"Push Down Attribute",voldemort,"Push Down Attribute	private partitionIdToNodeIdMap : Map<Integer,Integer> from class voldemort.routing.BaseStoreRoutingPlan to class voldemort.routing.StoreRoutingPlan",https://github.com/voldemort/voldemort/commit/5459942b99dc2a0bbdf32bcfe3f5928fe1084591?diff=split
"Push Down Attribute",netty,"Push Down Attribute	private log : Logger from class io.netty.example.udt.echo.rendevous.MsgEchoPeerBase to class io.netty.example.udt.echo.rendevous.MsgEchoPeerTwo",https://github.com/netty/netty/commit/5218f38ed0cbe3ac4623dfca38c7094daecdcb6d?diff=split
"Push Down Attribute",voldemort,"Push Down Attribute	protected keyIterator : ClosableIterator<ByteArray> from class voldemort.server.protocol.admin.FetchStreamRequestHandler to class voldemort.server.protocol.admin.FetchKeysStreamRequestHandler",https://github.com/voldemort/voldemort/commit/4c1064ed39b8a53825274f2e55e93c647233d400?diff=split
"Push Down Attribute",voldemort,"Push Down Attribute	protected preferred : int from class voldemort.store.routed.action.AbstractAction to class voldemort.store.routed.action.ReadRepair",https://github.com/voldemort/voldemort/commit/b9b2857ec36c4de9a8ae2ab388c0713eb006108b?diff=split
"Push Down Attribute",voldemort,"Push Down Attribute	protected preferred : int from class voldemort.store.routed.action.AbstractAction to class voldemort.store.routed.action.PerformParallelRequests",https://github.com/voldemort/voldemort/commit/b9b2857ec36c4de9a8ae2ab388c0713eb006108b?diff=split
"Push Down Attribute",netty,"Push Down Attribute	private connectTimeoutException : ConnectException from class io.netty.channel.AbstractChannel to class io.netty.channel.socket.nio.AbstractNioChannel",https://github.com/netty/netty/commit/6206d82b2c670aa58537c686ce9144ba94201cf6?diff=split
