org.junit.runner.manipulation.Filter.apply(Filter,Runner)	true	true	true	2	1	0	1
org.junit.runners.BlockJUnit4ClassRunner.getTestRules(Object)	true	false	false	2	2	1	2
org.junit.rules.ExpectedException.isAnyExceptionExpected()	true	false	false	1	2	2	2
org.junit.runner.Description.createTestDescription(String,String,Object)	true	false	true	1	0	0	0
org.junit.experimental.results.PrintableResult.testResult(Class,Computer)	true	false	true	2	1	0	1
org.junit.internal.runners.model.TestClass.computeAnnotations(FrameworkMethod)	true	false	true	1	1	0	1
org.junit.runners.BlockJUnit4ClassRunner.getMethodRules(Object)	true	false	false	1	1	1	1
junit.framework.TestSuite.getName()	true	false	false	1	2	7	8
org.junit.tests.running.methods.TimeoutTest.stackForException(Throwable)	true	false	false	1	2	2	2
org.junit.rules.TemporaryFolder.newFolder()	true	false	false	1	2	3	3
org.junit.runners.ParentRunner.hasValidatorAnnotation(Class)	true	false	true	1	3	0	3
org.junit.runners.Parameterized.createRunner(String,int,Object[])	true	false	true	1	1	0	1
org.junit.internal.MethodSorterTest.getDeclaredMethodNames(Class)	true	false	false	1	1	5	5
org.junit.rules.ExternalResource.statement(Statement)	true	false	false	1	2	1	2
junit.runner.ClassPathTestCollector.splitClassPath(String)	true	false	true	1	1	0	1
junit.awtui.TestRunner.rerunTest(Test)	true	false	true	1	1	0	1
org.junit.experimental.theories.internal.AllMembersSupplier.getDataPointsMethods(ParameterSignature)	true	false	false	1	1	1	1
org.junit.internal.runners.ParentRunner.classBlock(RunNotifier)	true	false	true	1	1	0	1
org.junit.runner.manipulation.Filter.matchDescription(Description)	true	true	true	1	2	0	2
org.junit.runners.Suite.empty()	true	true	true	2	1	0	1
org.junit.experimental.theories.ParameterSignature.signatures(Class[],Annotation[][])	true	false	false	2	2	2	2
org.junit.experimental.theories.internal.AllMembersSupplier.addMultiPointMethods(List)	true	false	true	1	1	0	1
junit.runner.BaseTestRunner.showStackRaw()	true	false	false	1	1	1	1
org.junit.internal.runners.ParentRunner.validate()	true	true	true	1	1	0	3
org.junit.experimental.categories.Categories.CategoryFilter.isExcluded(Description)	true	false	true	1	1	0	1
junit.framework.Assert.format(String,Object,Object)	true	false	false	1	3	4	4
junit.framework.TestFailure.isFailure()	true	true	false	1	1	0	1
org.junit.experimental.theories.internal.AllMembersSupplier.addFields(ParameterSignature,List)	true	false	true	1	1	0	1
